,Unnamed: 0,Time,Open,High,Low,Close,Volume,status
6847,6847,2021-09-28 16:00:00,41200.9,41947.7,41060.7,41536.9,8,1.0
6848,6848,2021-09-28 20:00:00,41719.6,41931.9,40722.8,42196.7,8,1.0
6849,6849,2021-09-29 00:00:00,41536.9,42402.4,41294.8,42315.8,8,1.0
6850,6850,2021-09-29 04:00:00,42196.7,42434.8,41960.1,41989.7,8,-1.0
6851,6851,2021-09-29 08:00:00,42313.2,42534.3,41811.7,41436.9,8,-1.0
6852,6852,2021-09-29 12:00:00,41989.4,42201.1,41359.3,41065.1,8,-1.0
6853,6853,2021-09-29 16:00:00,41437.0,41513.6,40849.3,42269.0,8,1.0
6854,6854,2021-09-29 20:00:00,41064.8,42342.7,40906.9,43447.6,8,1.0
6855,6855,2021-09-30 00:00:00,42269.3,43763.9,42192.0,43010.2,8,1.0
6856,6856,2021-09-30 04:00:00,43447.6,43647.1,42754.7,43359.3,8,-1.0
6857,6857,2021-09-30 08:00:00,43011.7,43708.9,42682.5,42883.3,8,-1.0
6858,6858,2021-09-30 12:00:00,43359.1,43519.1,42794.4,43372.5,8,1.0
6859,6859,2021-09-30 16:00:00,42882.8,44048.7,42876.6,43656.9,8,1.0
6860,6860,2021-09-30 20:00:00,43374.0,43990.3,43317.7,43564.9,8,1.0
6861,6861,2021-10-01 00:00:00,43656.9,43739.6,43232.5,44886.4,8,1.0
6862,6862,2021-10-01 04:00:00,43564.9,44922.4,43459.9,47165.9,8,1.0
6863,6863,2021-10-01 08:00:00,44886.7,47829.6,44736.4,47525.1,8,1.0
6864,6864,2021-10-01 12:00:00,47165.4,47780.8,46715.7,48074.4,8,1.0
6865,6865,2021-10-01 16:00:00,47524.9,48122.8,47373.1,48311.2,8,1.0
6866,6866,2021-10-01 20:00:00,48074.5,48379.9,48058.6,47831.6,2,-1.0
6867,6867,2021-10-03 20:00:00,48403.3,48403.3,47589.5,47714.3,8,-1.0
6868,6868,2021-10-04 00:00:00,47831.6,48121.1,47209.5,47603.3,8,-1.0
6869,6869,2021-10-04 04:00:00,47714.6,47890.2,47438.6,47669.4,8,-1.0
6870,6870,2021-10-04 08:00:00,47603.2,47766.7,47333.7,48547.6,8,1.0
6871,6871,2021-10-04 12:00:00,47670.2,48858.7,46872.4,48934.7,8,1.0
6872,6872,2021-10-04 16:00:00,48547.6,49429.6,48174.3,49475.8,8,1.0
6873,6873,2021-10-04 20:00:00,48966.6,49714.7,48523.0,49115.2,8,1.0
6874,6874,2021-10-05 00:00:00,49475.5,49544.5,49016.5,49869.3,8,1.0
