,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Open,High,Low,Close,Volume
251,251,7284,7284,2022-01-05 12:00:00,46171,46774,46058,46241,8
252,252,2284,2284,2018-11-08 20:00:00,6360,6369,6339,6354,8
253,253,908,908,2017-12-25 08:00:00,14200,14622,13931,14439,33
254,254,3269,3269,2019-06-25 16:00:00,11274,11351,11157,11310,75
255,255,901,901,2017-12-22 08:00:00,13154,14568,13142,13556,65
256,256,1271,1271,2018-03-19 00:00:00,8254,8278,8084,8149,137
257,257,5579,5579,2020-12-15 00:00:00,19370,19537,19139,19155,8
258,258,1659,1659,2018-06-15 16:00:00,6497,6498,6388,6432,231
259,259,3251,3251,2019-06-20 16:00:00,9309,9540,9247,9504,22
260,260,671,671,2017-11-01 00:00:00,6387,6454,6362,6370,284
261,261,5305,5305,2020-10-13 20:00:00,11415,11471,11396,11463,8
262,262,6958,6958,2021-10-22 16:00:00,61101,61212,60188,60661,8
263,263,5842,5842,2021-02-12 12:00:00,47716,48159,46250,47621,8
264,264,4777,4777,2020-06-12 16:00:00,9362,9428,9256,9407,100
265,265,7115,7115,2021-11-28 20:00:00,54903,57939,54856,57763,8
266,266,1842,1842,2018-07-30 04:00:00,8113,8125,8056,8101,179
267,267,1319,1319,2018-03-29 00:00:00,7869,7884,7522,7523,288
268,268,6027,6027,2021-03-26 08:00:00,53366,53598,52509,52979,8
269,269,770,770,2017-11-23 04:00:00,8216,8264,8100,8166,269
270,270,5221,5221,2020-09-24 08:00:00,10297,10420,10270,10356,8
271,271,6176,6176,2021-04-29 08:00:00,53948,54702,53775,54339,8
272,272,7995,7995,2022-06-15 12:00:00,21123,21708,20571,20648,8
273,273,923,923,2017-12-27 20:00:00,14786,15470,14728,15208,464
274,274,1525,1525,2018-05-16 08:00:00,8142,8364,8138,8283,94
275,275,5642,5642,2020-12-29 04:00:00,26412,26693,25826,26593,8
276,276,4753,4753,2020-06-08 16:00:00,9659,9693,9633,9647,98
277,277,6665,6665,2021-08-18 08:00:00,45216,45513,44617,44960,8
278,278,4348,4348,2020-03-05 04:00:00,8851,8901,8840,8875,122
279,279,702,702,2017-11-08 04:00:00,7367,7432,7330,7383,388
280,280,4173,4173,2020-01-24 00:00:00,8339,8343,8213,8234,98
281,281,3384,3384,2019-07-22 20:00:00,10268,10326,10136,10190,137
282,282,3189,3189,2019-06-06 08:00:00,7752,7806,7666,7709,14
283,283,5438,5438,2020-11-12 08:00:00,15794,16146,15619,15894,8
284,284,5049,5049,2020-08-17 00:00:00,11792,11814,11719,11757,8
285,285,1905,1905,2018-08-13 16:00:00,6225,6235,6094,6214,8
286,286,1279,1279,2018-03-20 08:00:00,8326,8563,8282,8514,112
287,287,125,125,2017-06-21 04:00:00,2779,2780,2639,2730,353
288,288,7104,7104,2021-11-25 04:00:00,57221,57886,56990,57561,8
289,289,2853,2853,2019-03-20 08:00:00,3930,3944,3907,3939,38
290,290,655,655,2017-10-27 08:00:00,5881,5922,5756,5782,359
291,291,1858,1858,2018-08-01 20:00:00,7420,7610,7379,7609,218
292,292,3267,3267,2019-06-25 08:00:00,11232,11411,11011,11145,146
293,293,7051,7051,2021-11-12 16:00:00,63036,64308,62904,64089,8
